Fecha,Hora,Sector,Mp10,Mp2_5,Humedad,Temperatura
01-06-2019,1:26:16,amanecer,24,23,,
01-06-2019,1:29:24,centro,,,93.4,11.5
01-06-2019,1:30:58,santa rosa,41,37,,
01-06-2019,1:32:48,pueblo nuevo,,,80.6,11.8
01-06-2019,1:32:59,pueblo nuevo,30,25,,
01-06-2019,1:33:11,pueblo nuevo,21,21,,
01-06-2019,1:33:23,santa rosa,,,94.3,11.3
01-06-2019,1:33:35,santa rosa,36,34,,
01-06-2019,1:34:17,pedro valdivia,,,99.8,11.2
01-06-2019,1:35:05,universidad,8,7,95.0,12.0
01-06-2019,1:36:04,amanecer,,,91.4,11.6
01-06-2019,1:36:16,amanecer,16,16,,
01-06-2019,1:36:16,amanecer,22,21,,
01-06-2019,1:39:24,centro,,,93.3,11.5
01-06-2019,1:40:58,santa rosa,79,63,,
01-06-2019,1:42:48,pueblo nuevo,,,80.4,11.6
01-06-2019,1:42:59,pueblo nuevo,25,19,,
01-06-2019,1:43:11,pueblo nuevo,22,20,,
01-06-2019,1:43:23,santa rosa,,,94.6,10.8
01-06-2019,1:43:35,santa rosa,45,43,,
01-06-2019,1:44:17,pedro valdivia,,,99.8,11.1
01-06-2019,1:46:04,amanecer,,,91.1,11.6
01-06-2019,1:46:16,amanecer,19,17,,
01-06-2019,1:46:16,amanecer,22,21,,
01-06-2019,1:46:24,universidad,8,7,94.6,12.0
01-06-2019,1:49:24,centro,,,93.0,11.5
01-06-2019,1:50:58,santa rosa,66,54,,
01-06-2019,1:52:48,pueblo nuevo,,,80.2,11.5
01-06-2019,1:53:00,pueblo nuevo,27,25,,
01-06-2019,1:53:11,pueblo nuevo,23,22,,
01-06-2019,1:53:23,santa rosa,,,95.1,10.4
01-06-2019,1:53:35,santa rosa,43,41,,
01-06-2019,1:54:17,pedro valdivia,,,99.7,11.1
01-06-2019,1:56:04,amanecer,,,90.9,11.6
01-06-2019,1:56:16,amanecer,16,16,,
01-06-2019,1:56:16,amanecer,23,22,,
01-06-2019,1:57:25,universidad,12,11,9.420.001,12.1
01-06-2019,1:59:24,centro,,,93.0,11.5
01-06-2019,2:00:58,santa rosa,56,46,,
01-06-2019,2:02:48,pueblo nuevo,,,80.2,11.4
01-06-2019,2:02:59,pueblo nuevo,20,16,,
01-06-2019,2:03:11,pueblo nuevo,16,16,,
01-06-2019,2:03:23,santa rosa,,,95.4,10.5
01-06-2019,2:03:35,santa rosa,37,35,,
01-06-2019,2:04:17,pedro valdivia,,,99.2,11.3
01-06-2019,2:06:04,amanecer,,,90.8,11.5
01-06-2019,2:06:15,amanecer,23,23,,
01-06-2019,2:06:16,amanecer,25,24,,
01-06-2019,2:08:31,universidad,11,10,9.370.001,12.2
01-06-2019,2:09:24,centro,,,92.8,11.2
01-06-2019,2:10:58,santa rosa,37,31,,
01-06-2019,2:12:48,pueblo nuevo,,,80.1,11.4
01-06-2019,2:12:59,pueblo nuevo,18,14,,
01-06-2019,2:13:11,pueblo nuevo,23,21,,
01-06-2019,2:13:23,santa rosa,,,95.2,10.5
01-06-2019,2:13:35,santa rosa,28,26,,
01-06-2019,2:14:17,pedro valdivia,,,98.1,11.5
01-06-2019,2:16:04,amanecer,,,91.0,11.4
01-06-2019,2:16:15,amanecer,26,25,,
01-06-2019,2:16:16,amanecer,30,28,,
01-06-2019,2:19:24,centro,,,92.8,11.1
01-06-2019,2:19:35,universidad,11,10,93.5,12.3
01-06-2019,2:20:58,santa rosa,43,33,,
01-06-2019,2:22:48,pueblo nuevo,,,80.2,11.4
01-06-2019,2:22:59,pueblo nuevo,19,15,,
01-06-2019,2:23:11,pueblo nuevo,16,15,,
01-06-2019,2:23:23,santa rosa,,,95.0,10.6
01-06-2019,2:23:35,santa rosa,30,28,,
01-06-2019,2:24:17,pedro valdivia,,,97.9,11.6
01-06-2019,2:26:04,amanecer,,,90.8,11.5
01-06-2019,2:26:15,amanecer,25,23,,
01-06-2019,2:26:16,amanecer,28,26,,
01-06-2019,2:29:24,centro,,,93.0,11.1
01-06-2019,2:30:52,universidad,11,10,93.4,12.4
01-06-2019,2:30:58,santa rosa,42,33,,
01-06-2019,2:32:49,pueblo nuevo,,,80.9,11.5
01-06-2019,2:32:59,pueblo nuevo,20,18,,
01-06-2019,2:33:11,pueblo nuevo,20,18,,
01-06-2019,2:33:23,santa rosa,,,95.1,10.6
01-06-2019,2:33:35,santa rosa,32,30,,
01-06-2019,2:34:17,pedro valdivia,,,97.8,11.8
01-06-2019,2:36:04,amanecer,,,90.6,11.6
01-06-2019,2:36:15,amanecer,22,21,,
01-06-2019,2:36:16,amanecer,24,23,,
