01-07-2019,1:04:14,pedro valdivia,,,99.9,2.5
01-07-2019,1:06:13,poniente,35,33,94.7,2.8
01-07-2019,1:06:26,universidad,318,313,96.1,4.5
01-07-2019,1:06:39,santa rosa,612,390,,
01-07-2019,1:09:22,centro,,,90.2,3.8
01-07-2019,1:12:46,pueblo nuevo,,,75.7,5.2
01-07-2019,1:12:56,pueblo nuevo,117,105,,
01-07-2019,1:13:08,pueblo nuevo,89,89,,
01-07-2019,1:13:20,santa rosa,,,99.4,2.6
01-07-2019,1:13:31,amanecer,,,93.6,2.8
01-07-2019,1:13:33,santa rosa,305,300,,
01-07-2019,1:13:43,amanecer,606,598,,
01-07-2019,1:13:43,amanecer,843,685,,
01-07-2019,1:14:14,pedro valdivia,,,99.9,2.5
01-07-2019,1:16:39,santa rosa,408,273,,
01-07-2019,1:17:01,poniente,42,40,94.7,2.8
01-07-2019,1:17:25,universidad,332,327,9.670.001,4.5
01-07-2019,1:19:22,centro,,,90.0,3.9
01-07-2019,1:22:46,pueblo nuevo,,,75.7,5.1
01-07-2019,1:22:56,pueblo nuevo,127,106,,
01-07-2019,1:23:08,pueblo nuevo,103,103,,
01-07-2019,1:23:21,santa rosa,,,99.5,2.6
01-07-2019,1:23:31,amanecer,,,93.6,2.7
01-07-2019,1:23:33,santa rosa,291,286,,
01-07-2019,1:23:43,amanecer,527,520,,
01-07-2019,1:23:43,amanecer,722,595,,
01-07-2019,1:24:14,pedro valdivia,,,99.9,2.4
01-07-2019,1:26:39,santa rosa,483,310,,
01-07-2019,1:27:52,poniente,42,40,9.440.001,2.6
01-07-2019,1:28:24,universidad,329,324,9.620.001,4.3
01-07-2019,1:29:22,centro,,,90.5,3.5
01-07-2019,1:32:46,pueblo nuevo,,,75.7,5.0
01-07-2019,1:32:56,pueblo nuevo,126,108,,
01-07-2019,1:33:08,pueblo nuevo,88,86,,
01-07-2019,1:33:21,santa rosa,,,99.6,2.2
01-07-2019,1:33:31,amanecer,,,93.6,2.5
01-07-2019,1:33:33,santa rosa,289,284,,
01-07-2019,1:33:43,amanecer,508,501,,
01-07-2019,1:33:43,amanecer,709,569,,
01-07-2019,1:34:14,pedro valdivia,,,99.9,2.1
01-07-2019,1:36:40,santa rosa,483,307,,
01-07-2019,1:38:43,poniente,45,43,9.440.001,2.4
01-07-2019,1:39:22,centro,,,90.6,3.6
01-07-2019,1:39:22,universidad,374,368,96.6,4.2
01-07-2019,1:42:46,pueblo nuevo,,,75.5,4.9
01-07-2019,1:42:56,pueblo nuevo,118,97,,
01-07-2019,1:43:08,pueblo nuevo,79,77,,
01-07-2019,1:43:21,santa rosa,,,99.8,1.8
01-07-2019,1:43:31,amanecer,,,93.7,2.2
01-07-2019,1:43:33,santa rosa,273,269,,
01-07-2019,1:43:43,amanecer,533,525,,
01-07-2019,1:43:43,amanecer,707,596,,
01-07-2019,1:44:14,pedro valdivia,,,99.9,2.0
01-07-2019,1:46:39,santa rosa,460,313,,
01-07-2019,1:49:19,poniente,50,48,94.7,2.2
01-07-2019,1:49:22,centro,,,90.3,3.6
01-07-2019,1:50:22,universidad,359,354,97.0,3.9
01-07-2019,1:52:46,pueblo nuevo,,,75.3,4.75
01-07-2019,1:52:56,pueblo nuevo,153,133,,
01-07-2019,1:53:08,pueblo nuevo,134,130,,
01-07-2019,1:53:21,santa rosa,,,99.8,1.4
01-07-2019,1:53:31,amanecer,,,93.8,1.9
01-07-2019,1:53:33,santa rosa,275,271,,
01-07-2019,1:53:43,amanecer,628,619,,
01-07-2019,1:53:43,amanecer,810,657,,
01-07-2019,1:54:14,pedro valdivia,,,99.9,1.8
01-07-2019,1:56:39,santa rosa,459,303,,
01-07-2019,1:59:22,centro,,,90.2,3.5
01-07-2019,2:00:00,poniente,43,41,95.0,2.0
01-07-2019,2:01:19,universidad,361,355,97.3,3.8
01-07-2019,2:02:46,pueblo nuevo,,,74.6,4.4
01-07-2019,2:02:56,pueblo nuevo,154,129,,
01-07-2019,2:03:08,pueblo nuevo,118,114,,
01-07-2019,2:03:20,santa rosa,,,99.9,1.1
01-07-2019,2:03:31,amanecer,,,94.5,1.8
01-07-2019,2:03:33,santa rosa,282,277,,
01-07-2019,2:03:43,amanecer,634,625,,
01-07-2019,2:03:43,amanecer,820,664,,
01-07-2019,2:04:14,pedro valdivia,,,99.9,1.7
